,date,notes,name
0,2010-10-03,fractured bone in right pinky finger (out indefinitely),carlosboozer
1,2010-10-06,torn right Acchilles tendon (out indefinitely),jonasjerebko
2,2010-10-06,broken fifth metatarsal in right foot (out indefinitely),terricowhite
3,2010-10-08,torn ACL in right knee (out indefinitely),jeffpendergraphjeffayres
4,2010-10-08,strained lower back (out indefinitely),troymurphy
5,2010-10-08,surgery to repair torn right Achilles tendon,jonasjerebko
6,2010-10-08,surgery on right foot to repair broken fifth metatarsal,terricowhite
7,2010-10-09,partially torn plantar fascia in left foot (out indefinitely),alharrington
8,2010-10-12,surgery on left hip (out for season),daringtonhobson
9,2010-10-12,strained left groin (out indefinitely),samueldalembert
10,2010-10-17,stress fracture in left shin (out indefinitely),dominicmcguire
11,2010-10-18,surgery to repair fractured right index finger (out indefinitely),louisamundsonlouamundson
12,2010-10-19,fractured right index finger (out indefinitely),joshchildress
13,2010-10-22,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),mikemiller
14,2010-10-25,left knee injury (out indefinitely),nickcollison
15,2010-10-25,surgery on back (out indefinitely),martellwebster
16,2010-10-26,sprained ankle (out indefinitely),mariochalmers
17,2010-10-27,sprained left ankle (DNP),jonbrockman
18,2010-10-27,sprained right ankle (DNP),lucrichardmbahamoutelucmbahamoute
19,2010-10-28,back injury (DTD),zachrandolph
20,2010-10-28,right knee inflammation (DTD),mauriceevans
21,2010-10-28,sprained right ankle (DTD),mattbonner
23,2010-10-29,sore right hamstring (DNP),willbynum
24,2010-10-30,sore right hamstring (DNP),willbynum
25,2010-11-02,sore right foot (DNP),richardhamilton
26,2010-11-02,sore right hamstring (DNP),willbynum
27,2010-11-03,turf toe (DNP),jamalcrawford
28,2010-11-03,sprained right wrist (DNP),jeremyevans
29,2010-11-03,stomach illness (DNP),kyrylofesenko
30,2010-11-03,strained left groin (DNP),nenenenehilariomaybynerhilario
31,2010-11-03,sore right foot (DNP),richardhamilton
32,2010-11-03,sore right hamstring (DNP),willbynum
33,2010-11-03,stomach virus (DTD),brandanwright
34,2010-11-04,"dislocated patella in right knee (surgery, out for season)",elliotwilliams
35,2010-11-05,migraine headache (DNP),andrewbogut
36,2010-11-05,bone bruise in right knee (DNP),marvinwilliams
37,2010-11-05,sprained right ankle (DNP),jeremyevans
38,2010-11-05,strained left groin (DNP),nenenenehilariomaybynerhilario
39,2010-11-06,back injury (DNP),rudyfernandez
40,2010-11-06,strained left groin (DNP),nenenenehilariomaybynerhilario
41,2010-11-06,ankle injury (DTD),sonnyweems
42,2010-11-07,bone bruise in right knee (DNP),marvinwilliams
43,2010-11-08,bone bruise in right knee (DNP),marvinwilliams
45,2010-11-09,strained neck (DNP),carlosdelfino
46,2010-11-10,strained neck (DNP),carlosdelfino
47,2010-11-10,sprained left ankle (DNP),chriskaman
48,2010-11-10,bone bruise in right knee (DNP),marvinwilliams
50,2010-11-10,thigh injury (DTD),wayneellington
51,2010-11-10,sore left shoulder (DNP),ericgordon
52,2010-11-11,sore left knee (DNP),jermaineoneal
53,2010-11-11,sprained left ankle (DTD),yaoming
54,2010-11-11,stress fracture in right foot (out indefinitely),jamesanderson
55,2010-11-11,placed on IL with infection in left elbow,davidlee
56,2010-11-12,surgery on left elbow to repair infection,davidlee
57,2010-11-12,strained left hamstring (DNP),randyfoye
58,2010-11-13,strained neck (DNP),carlosdelfino
59,2010-11-13,sore left knee (DNP),jermaineoneal
60,2010-11-13,flu-like symptoms (DNP),reggieevans
61,2010-11-14,sprained left ankle (DNP),chasebudinger
62,2010-11-14,sprained left ankle (DNP),nikolapekovic
63,2010-11-14,bruised left thigh (DNP),wayneellington
64,2010-11-15,strained left hamstring (DNP),randyfoye
65,2010-11-15,strained left abductor (DNP),rajabell
66,2010-11-15,left foot injury (DNP),nikolapekovic
67,2010-11-15,bruised left thigh (DNP),wayneellington
68,2010-11-16,sore left knee (DNP),brandonroy
69,2010-11-16,strained neck (DNP),carlosdelfino
70,2010-11-17,strained left hamstring (DNP),randyfoye
71,2010-11-17,dizziness (DNP),kyrylofesenko
72,2010-11-17,sprained left ankle (DNP),chasebudinger
73,2010-11-18,sore left knee (DNP),brandonroy
74,2010-11-18,foot injury (DTD),jasonwilliams
75,2010-11-19,mircofracture surgery on left knee (out for season),gregoden
76,2010-11-19,strained neck (DNP),carlosdelfino
77,2010-11-19,broken nose (DNP),juwanhoward
78,2010-11-19,left calf injury (DNP),timofeymozgov
79,2010-11-19,strained lower back (DNP),brandanwright
80,2010-11-20,sore left knee (DNP),brandonroy
81,2010-11-20,strained neck (DNP),carlosdelfino
82,2010-11-20,strained groin (DNP),stevenash
83,2010-11-21,sprained left foot (DNP),johnwall(a)
85,2010-11-22,strained lower back (DNP),brandanwright
86,2010-11-23,surgery on left foot to repair torn ligament (out for season),udonishaslem
87,2010-11-24,sore back (DNP),andrewbogut
88,2010-11-24,strained neck (DNP),carlosdelfino
89,2010-11-24,right ankle/foot injury (DNP),tajgibson
90,2010-11-24,broken right wrist (out indefinitely),delontewest
92,2010-11-24,strained lower back (DNP),brandanwright
93,2010-11-26,sore back (DNP),andrewbogut
94,2010-11-26,strained neck (DNP),carlosdelfino
95,2010-11-26,broken right foot (out indefinitely),reggieevans
96,2010-11-26,strained lower back (DNP),brandanwright
97,2010-11-27,sore back (DNP),andrewbogut
98,2010-11-27,sore left ankle (DNP),coreymaggette
99,2010-11-27,plantar fasciitis in left foot (DNP),drewgooden
100,2010-11-27,bruised right knee (P) / sore left knee (CBC) (DNP),johnwall(a)
101,2010-11-28,sprained right ankle (DNP),seanmarks
102,2010-11-28,strained left hamstring (DNP),randyfoye
103,2010-11-28,bruised right quadriceps (DNP),toneydouglas
104,2010-11-28,gastroenteritis (DNP),devinebanks
105,2010-11-28,swollen left knee (DNP),predragstojakovicpejastojakovic
106,2010-11-28,broken right foot (DNP),reggieevans
107,2010-11-29,sore back (DNP),andrewbogut
109,2010-11-29,left foot injury (DNP),drewgooden
110,2010-11-29,bruised right knee (P) (DNP),johnwall(a)
111,2010-11-30,surgery to repair broken right wrist,delontewest
113,2010-12-01,sore back (DNP),andrewbogut
114,2010-12-01,swollen left knee (DNP),predragstojakovicpejastojakovic
115,2010-12-02,arthroscopic surgery on right elbow to remove loose particle (out indefinitely),joejohnson
116,2010-12-03,stomach virus (DNP),davidwest
117,2010-12-03,stomach virus (DNP),dwighthoward
118,2010-12-03,stomach virus (DNP),jameernelson
119,2010-12-03,swollen left knee (DNP),predragstojakovicpejastojakovic
120,2010-12-03,stomach virus (DNP),jjredick
121,2010-12-04,stomach virus (DNP),dwighthoward
122,2010-12-04,stomach virus (DNP),jjredick
123,2010-12-04,stomach virus (DNP),jameernelson
124,2010-12-04,sprained right foot (DNP),ryananderson
125,2010-12-04,sprained right ankle (DNP),michaelbeasley
126,2010-12-05,strained hamstring (DNP),rajonrondo
127,2010-12-05,sore/swollen left knee (DNP),predragstojakovicpejastojakovic
128,2010-12-05,sprained right ankle (DTD),djwhite
129,2010-12-05,sprained left foot (DTD),rodneycarney
130,2010-12-06,stomach flu (DNP),jameernelson
131,2010-12-06,patella tendinitis in left foot (DNP),drewgooden
133,2010-12-08,sprained left ankle (DNP),kyrylofesenko
134,2010-12-08,right knee inflammation (DNP),carmeloanthony
135,2010-12-08,swollen left knee (DNP),predragstojakovicpejastojakovic
136,2010-12-08,bruised right quadriceps (DNP),darkomilicic
137,2010-12-08,sore left foot (DNP),johnwall(a)
138,2010-12-09,sore right calf (P) / sore left knee (CBC) (DNP),shaquilleoneal
139,2010-12-10,quadriceps injury (DTD),tyrusthomas
141,2010-12-10,groin injury (DTD),rajabell
142,2010-12-10,sore left foot (DTD),josecalderon
143,2010-12-10,back injury (DTD),nenadkrstic
146,2010-12-10,sprained right ankle (DTD),stephencurry
147,2010-12-11,stomach virus (DTD),ryanhollins
148,2010-12-11,sprained left ankle (DNP),kyrylofesenko
149,2010-12-11,strained right abductor (DNP),rajabell
150,2010-12-11,right knee patella tendinitis (DNP),carmeloanthony
151,2010-12-11,swollen left knee (DNP),predragstojakovicpejastojakovic
152,2010-12-12,strained lower back (DNP),chrisduhon
153,2010-12-13,strained right abductor (DNP),rajabell
154,2010-12-13,surgery to insert screw to repair broken right foot (out indefinitely),damionjames
155,2010-12-14,left foot injury (DTD),tyrekeevans
156,2010-12-14,sprained left knee (DNP),mickaelpietrus
157,2010-12-14,sore left elbow (DNP),quentinrichardson
158,2010-12-14,sprained right wrist (DNP),chaunceybillups
159,2010-12-14,swollen left knee (DNP),predragstojakovicpejastojakovic
160,2010-12-15,back spasms (DNP),johnsalmons
161,2010-12-15,torn ligament in right thumb (out indefinitely),joakimnoah
162,2010-12-15,sore right calf (DNP),shaquilleoneal
163,2010-12-15,sore left knee (DNP),andreabargnani
164,2010-12-15,swollen left knee (DNP),predragstojakovicpejastojakovic
165,2010-12-15,sprained right knee (out indefinitely),yijianlianjianlianyi
166,2010-12-16,surgery on right thumb to repair torn ligament (out indefinitely),joakimnoah
167,2010-12-16,sprained left ankle (DNP),rajonrondo
168,2010-12-16,sore right calf (DNP),shaquilleoneal
169,2010-12-16,strained right hamstring (DNP),anthonymorrow
170,2010-12-16,torn ligament in right wrist (DNP),chaunceybillups
171,2010-12-16,stress fracture in left ankle (out for season),yaoming
172,2010-12-16,strained right adductor (DTD),tiagosplitter
173,2010-12-16,right knee tendinitis (DNP),johnwallace
174,2010-12-17,sore left knee (DNP),brandonroy
175,2010-12-17,sore lower back (DNP),sonnyweems
176,2010-12-18,sore left knee (DNP),brandonroy
177,2010-12-18,sore right shoulder (DNP),marcuscamby
178,2010-12-18,sore right shoulder (DNP),nicolasbatum
179,2010-12-18,torn ligament in right wrist (DNP),chaunceybillups
180,2010-12-18,sprained right big toe (DNP),georgehill
181,2010-12-19,sprained left ankle (DNP),rajonrondo
182,2010-12-19,bruised lower back (DNP),quintonross
183,2010-12-19,upset stomach (DNP),richardhamilton
184,2010-12-19,sore left big toe (DNP),rodneystuckey
185,2010-12-19,sore right ankle (DNP),andreabargnani
186,2010-12-19,back spasms (DNP),sonnyweems
187,2010-12-20,sore left knee (DNP),brandonroy
188,2010-12-20,strained right shoulder (DNP),marcuscamby
189,2010-12-20,back injury (out indefinitely),craigsmith
190,2010-12-20,sprained right big toe (DNP),georgehill
191,2010-12-20,strained left groin (DNP),dangadzuric
192,2010-12-20,concussion (DNP),carlosdelfino
193,2010-12-21,concussion (DNP),carlosdelfino
194,2010-12-21,sore left foot (DNP),drewgooden
195,2010-12-21,sprained left ankle (DNP),malikallen
196,2010-12-21,bruised lower back (DNP),quintonross
197,2010-12-21,strained left groin (DNP),dangadzuric
198,2010-12-22,sprained left ankle (DNP),rajonrondo
199,2010-12-22,bruised lower back (DNP),quintonross
200,2010-12-22,food poisoning (DNP),jerrydbayless
201,2010-12-22,back spasms (DNP),sonnyweems
202,2010-12-22,sprained right big toe (DNP),georgehill
203,2010-12-23,concussion (DNP),carlosdelfino
204,2010-12-23,sore left foot (DNP),drewgooden
205,2010-12-23,arthroscopic surgery on left knee (out for season),danielorton
206,2010-12-23,sprained right big toe (DNP),georgehill
207,2010-12-25,sore left knee (DNP),brandonroy
208,2010-12-25,stomach virus (DTD),semiherden
209,2010-12-25,sore left foot (DNP),jasonwilliams
210,2010-12-27,right Achilles tendinitis (DNP),andreiguodala
211,2010-12-27,sore left knee (DNP),brandonroy
212,2010-12-27,sore left foot (DNP),drewgooden
213,2010-12-27,sore left foot (DNP),jasonwilliams
214,2010-12-27,back spasms (DNP),sonnyweems
215,2010-12-28,sore left knee (DNP),brandonroy
216,2010-12-28,sprained right ankle (P) / left ankle (CBC) (DNP),marcuscamby
217,2010-12-28,plantar fasciitis in left foot (DNP),drewgooden
218,2010-12-28,sore left foot (DNP),jasonwilliams
219,2010-12-28,flu-like symptoms (DNP),quentinrichardson
220,2010-12-28,sore ankle (DNP),josecalderon
221,2010-12-28,back spasms (DNP),sonnyweems
222,2010-12-29,strained left hip flexor (DNP),mauricewilliamsmowilliams
224,2010-12-29,flu-like symptoms (DNP),cjmiles
225,2010-12-29,sore left knee (DNP),kenyonmartin
226,2010-12-29,sore hamstring (DNP),nenenenehilariomaybynerhilario
228,2010-12-30,strained lower back (DNP),mehmetokur
229,2010-12-30,sore left foot (DNP),jasonwilliams
230,2010-12-30,flu-like symptoms (DNP),quentinrichardson
231,2010-12-30,sprained right ankle (out indefinitely),chuckhayes
232,2010-12-31,fractured cheekbone (out indefinitely),andersonvarejao
233,2010-12-31,bruised back (DTD),marvinwilliams
234,2010-12-31,bone bruise in right knee (DNP),jordanfarmar
235,2010-12-31,back spasms (DNP),sonnyweems
236,2010-12-31,strained lower back (out indefinitely),brandanwright
237,2010-12-31,sprained left ankle (DNP),rajonrondo
238,2011-01-01,plantar fasciitis in left foot (DNP),drewgooden
239,2011-01-01,bruised left thigh (DNP),danielgibson
240,2011-01-01,strained left hip flexor (DNP),mauricewilliamsmowilliams
241,2011-01-01,stomach virus (DNP),rudygay
242,2011-01-01,sore right knee (DNP),xavierhenry
243,2011-01-01,flu-like symptoms (DNP),cjmiles
244,2011-01-01,bruised thigh (DNP),shawnmarion
245,2011-01-01,bone bruise in right knee (DNP),jordanfarmar
246,2011-01-02,sore left knee (DNP),brandonroy
247,2011-01-02,shin injury (DTD),timofeymozgov
248,2011-01-02,sprained left ankle (DNP),jerrydbayless
249,2011-01-02,back spasms (DNP),sonnyweems
250,2011-01-03,strained back (DNP),spencerhawes
251,2011-01-03,sprained left knee (out indefinitely),danilogallinari
252,2011-01-03,groin injury (DTD),chriswilcox
254,2011-01-04,plantar fasciitis in left foot (DNP),drewgooden
255,2011-01-04,bronchitis (DNP),ojmayo
256,2011-01-04,sore right knee (DNP),xavierhenry
257,2011-01-04,surgery on right knee to repair torn patella tendon (out for season),caronbutler
